            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2448184.333333333, A.D. 1990-Oct-19 20:00:00.0000,  1.285191032576746E+08,  7.756549555849977E+07,  1.583338641959287E+06, -1.822996641033632E+01,  3.656878869944258E+01,  1.388205770180347E+00,  5.007470703593141E+02,  1.501201950593177E+08,  3.302522233037302E+00,
2448185.333333333, A.D. 1990-Oct-20 20:00:00.0000,  1.269252946878071E+08,  8.071352133755712E+07,  1.703039364690885E+06, -1.866241454800277E+01,  3.630067553521800E+01,  1.382582938488909E+00,  5.017629328839598E+02,  1.504247429825713E+08,  3.746574302093241E+00,
2448186.333333333, A.D. 1990-Oct-21 20:00:00.0000,  1.252944741511082E+08,  8.383799836041421E+07,  1.822238516878936E+06, -1.908666475813237E+01,  3.602374593643302E+01,  1.376597054509842E+00,  5.029062109310848E+02,  1.507674891184964E+08,  4.186669290915967E+00,
2448187.333333333, A.D. 1990-Oct-22 20:00:00.0000,  1.236273651290056E+08,  8.693818258712004E+07,  1.940905188573025E+06, -1.950237039689618E+01,  3.573841239279441E+01,  1.370258867914670E+00,  5.041757036746827E+02,  1.511480734685127E+08,  4.622391027248721E+00,
2448188.333333333, A.D. 1990-Oct-23 20:00:00.0000,  1.219247198101314E+08,  9.001336629522869E+07,  2.059009436500803E+06, -1.990921369794955E+01,  3.544510264935369E+01,  1.363579985378736E+00,  5.055700929886611E+02,  1.515661008683593E+08,  5.053341915210121E+00,
2448189.333333333, A.D. 1990-Oct-24 20:00:00.0000,  1.201873183598281E+08,  9.306287499902722E+07,  2.176521756142922E+06, -2.030687469687285E+01,  3.514418129008299E+01,  1.356562195590696E+00,  5.070879449525464E+02,  1.520211414394926E+08,  5.479121624144232E+00,
2448190.333333333, A.D. 1990-Oct-25 20:00:00.0000,  1.184159619303086E+08,  9.608607901818584E+07,  2.293414616623491E+06, -2.069515821069138E+01,  3.483625030207910E+01,  1.349239609142538E+00,  5.087277249408126E+02,  1.525127351127541E+08,  5.899415531297635E+00,
2448191.333333333, A.D. 1990-Oct-26 20:00:00.0000,  1.166114726127811E+08,  9.908238817799589E+07,  2.409661667562678E+06, -2.107380412280138E+01,  3.452169194452880E+01,  1.341615196101415E+00,  5.104877997105250E+02,  1.530403922542300E+08,  6.313870305568220E+00,
2448192.333333333, A.D. 1990-Oct-27 20:00:00.0000,  1.147746918853343E+08,  1.020512498559951E+08,  2.525237432218447E+06, -2.144261396427257E+01,  3.420096943941738E+01,  1.333702937810637E+00,  5.123664410035062E+02,  1.536035947451531E+08,  6.722174600853766E+00,
2448193.333333333, A.D. 1990-Oct-28 20:00:00.0000,  1.129064770849736E+08,  1.049921515927915E+08,  2.640117658115566E+06, -2.180141904772940E+01,  3.387454888770208E+01,  1.325517178158464E+00,  5.143618342101141E+02,  1.542017985792386E+08,  7.124040596493892E+00,
